Pregunta,Respuesta
¿Cómo realizo una compra?,"Seleccioná los productos que quieras, agregalos al carrito y hacé clic en “Finalizar compra”. Después seguí los pasos del sistema para el pago y la dirección."
¿Cuál es el mínimo de compra?,No contamos con mínimo de compra.
¿Cómo elimino el carrito?,Podés vaciar el carrito desde el ícono en la parte superior derecha. Hacé clic y seleccioná la opción “Eliminar productos” o “Vaciar carrito”.
¿Cómo cancelo una compra?,"Si el pedido aún no fue despachado, podés cancelarlo desde “Mis compras” seleccionando la opción “Cancelar compra”."
¿Cómo elijo el talle de la ropa?,En cada producto vas a encontrar una guía de talles al final del carrusel de fotos. Te recomendamos comparar tus medidas con la tabla.
¿Cómo se puede pagar?,Aceptamos tarjetas de crédito y débito Visa y Mastercard. También podés pagar con transferencia bancaria o mediante PayPal.
¿Qué promociones tienen?,Nuestras promociones activas están en la sección “Promociones” y también en los banners de la página principal. Se actualizan todas las semanas.
¿Cómo sigo mi envío?,"Desde tu cuenta, entrá a “Mis compras” para ver el estado del envío. Además, te enviamos por mail el código de seguimiento del correo."
¿Cuánto tarda mi envío?,"El tiempo estimado de entrega es entre 7 y 40 días, según tu ubicación y el método de envío seleccionado."
¿Por qué no llega mi envío?,Puede haber demoras por logística externa. Revisá el seguimiento desde “Mis compras” o con el código que te enviamos por mail.
No me llegó el código de seguimiento,"Si no lo recibiste, escribinos por el chat o al mail de atención al cliente y te lo volvemos a enviar."
El envío no es lo que pedí,"Si el producto recibido no coincide con tu pedido, podés iniciar un reclamo desde “Mis compras” y solicitar cambio o reembolso."
¿Cómo hago una devolución?,"Ingresá a “Mis compras”, elegí el pedido y hacé clic en “Iniciar devolución”. Tenés hasta 15 días desde la recepción del producto."
¿Tienen tienda física?,"No, por el momento solo vendemos online. Todos los productos se envían por correo a domicilio."
¿Puedo retirar el envío en la tienda?,Actualmente no contamos con retiro en tienda. Todos los envíos se hacen a través de correo.
¿Dónde se encuentra la tienda?,"Nuestra tienda es 100% online, sin local físico. Atendemos a todo el país desde nuestro centro logístico."
¿Cómo creo una cuenta?,Hacé clic en “Crear cuenta” en la parte superior derecha e ingresá tus datos. Vas a recibir un mail de confirmación.
¿Cómo elimino una cuenta?,"Para eliminar tu cuenta, escribinos desde el mail asociado y gestionamos la baja en un plazo de hasta 72 hs hábiles."
¿Tienen redes sociales?,"Sí, nos encontrás en Instagram y TikTok como @tiendaderopaonline Seguinos para novedades y descuentos."
¿Qué productos tienen?,"Vendemos ropa y accesorios para mujer, hombre y teens. Incluye jeans, remeras, vestidos, zapatillas, camperas y más."
¿Cómo me contacto con un asesor?,"Podés escribirnos por WhatsApp, chat en vivo o completar el formulario de contacto. Respondemos de lunes a viernes, de 9 a 18 hs."
